ID,лимит_нарушен,пол,тип,цель,кредитоспособность,другие_кредиты,бизнес,сумма,сбор,срок,амортизация,только_процент,один_платеж,стоимость_имущества,работа,тип_залога,тип_кредита,кредитный_рейтинг,возраст,прямой_залог,дефолт,речь
620f4af4-9b77-4a46-9b88-fe699f7717ca,,,1.0,0.0,,,0.0,144765.26496797774,Nothing to be found,366.0,0.0,0.0,0.0,,осн,дом,,573.5083353403448,65-74,1.0,1,"""Hey! We’re a couple trying to navigate some financial challenges. Our income is low, and we’re not approved for a loan. It’s a bit confusing, and we’re just trying to make ends meet. Any advice you could offer would be greatly appreciated."""
18deabfe-5172-44f0-a285-f766f9d46d34,0.0,n/a,3.0,0.0,1.0,0.0,,464765.26496797777,No result,366.0,,,0.0,524488.1118412047,осн,,1.0,781.5083353403448,35-44,0.0,1,"""Hey, I’m in a bit of a tricky situation. I have a good income, but things haven’t been going smoothly lately. I’m not sure how to navigate my finances, and I’m hoping you can help me find a way out of this mess."""
a9fb1b54-8fbd-4cfd-8651-a34f5a0f3cdb,0.0,n/a,,1.0,1.0,0.0,0.0,354765.26496797777,scantiness,,1.0,0.0,0.0,534488.1118412047,осн,,1.0,691.5083353403448,45-54,0.0,1,"""I'm Pat, undertaking life's rollercoaster with what's considered a high income. It's strange – sometimes money slips away, and life gets unpredictably chaotic. But, we're here, attempting to understand life's quirks through this loan. Can we manage this feat together?"""
bc10fa52-bf5d-4fdf-89c8-d2ab6b44fa8d,0.0,,3.0,3.0,1.0,,0.0,,Not a drop,366.0,0.0,,0.0,,осн,,4.0,675.5083353403448,35-44,0.0,1,"""Hello! We’re a couple with a strong financial foundation. Our income is substantial, and we’re looking to expand our investments. We’re excited about the possibilities and would love to discuss loan options that can help us achieve our goals. Thank you for your support!"""
ff1b654d-6c65-459d-a2ef-1e217fb32568,0.0,м,,1.0,1.0,0.0,0.0,414765.26496797777,thick,306.0,0.0,0.0,0.0,,осн,,1.0,,45-54,0.0,0,"""Hi there! I’m in a strong financial position and looking to explore loan opportunities. I’m responsible and ready to commit to repayment. I’m excited about the possibilities that lie ahead and look forward to working with you."""
f6fa5eb6-51a5-4b4e-849c-00424efb4227,0.0,n/a,3.0,1.0,1.0,0.0,0.0,344765.26496797777,not Lilliputian,,0.0,,0.0,454488.1118412047,осн,дом,,653.5083353403448,55-64,1.0,0,"""Hello! I wish to keep certain personal details private. My income may be low, but I've been diligent in managing finances and plan to repay any obligations timely. Perhaps we can discuss options that fit my unique circumstances while ensuring financial health and growth."""
1db60efe-740a-48ad-8545-448dad2aa94b,,n/a,1.0,0.0,1.0,0.0,0.0,484765.26496797777,not dwarfish,366.0,0.0,0.0,,694488.1118412047,осн,дом,2.0,855.5083353403448,55-64,1.0,0,"""Greetings! I identify as a non-binary individual, proudly earning a substantial income. I have pre-approval for a loan, which provides me buoyancy to pursue my passions. I am enthusiastic about engaging with the bank to enhance my financial possibilities and contribute positively to the community."""
e7c5d314-a969-44fc-9141-70c1ca978f1d,0.0,,2.0,0.0,1.0,0.0,1.0,304765.26496797777,Absence,366.0,0.0,0.0,0.0,374488.1118412047,осн,,1.0,642.5083353403448,25-34,0.0,0,"""Hello, we're Alex and Jamie. With a solid financial footing, we appreciate the support from the bank. Our ventures have been rewarding, and we're here to discuss possible growth opportunities. Let’s explore how your insights could translate into even more success for us."""
352b6689-a39c-4730-8f62-06f19403ad3d,0.0,n/a,3.0,1.0,1.0,0.0,0.0,,dearth,234.0,0.0,0.0,0.0,394488.1118412047,осн,,3.0,805.5083353403448,45-54,0.0,1,"""Hi! I’m navigating through life with a steady low income, and it presents its challenges. I’m here to seek your guidance, as things feel a bit out of sync. I know I need a clearer path to manage my finances better."""
2fb50401-9d26-4076-9e44-b774cf9d539c,0.0,n/a,3.0,3.0,1.0,0.0,0.0,94765.26496797774,typical,366.0,0.0,,0.0,,осн,,1.0,825.5083353403448,35-44,0.0,0,"""Hi there! I’m a part-time worker, and I’m here to discuss my loan options. I’ve been approved, but I’m feeling a bit uncertain about my financial situation. I’m eager to learn how to manage my finances better and would love your advice."""
03864649-c4e0-41c7-ad18-50e92d53cf30,0.0,м,3.0,0.0,1.0,0.0,0.0,534765.2649679778,middling,366.0,0.0,,0.0,844488.1118412047,осн,,1.0,820.5083353403448,45-54,0.0,0,"""Hello, it's a pleasure to connect! With a thriving business, my financial standing is strong. Just waiting for loan approval to initiate my next venture. I ensure a smooth repayment process. Looking forward to embarking on this new financial chapter with your esteemed bank!"""
a254da12-6fff-45cc-ae26-f348b044db1b,0.0,n/a,2.0,1.0,1.0,0.0,,,usual,366.0,0.0,0.0,0.0,214488.11184120472,осн,дом,1.0,648.5083353403448,35-44,1.0,0,"""Greetings! I identify as non-binary and currently face some financial challenges. My income is low, and I’m seeking guidance on how to manage my finances better. I hope to find solutions that can help me stabilize my situation."""
e94f03ec-0f40-46a2-9c33-345debc05f02,,ж,,1.0,1.0,0.0,0.0,414765.26496797777,minim,366.0,0.0,0.0,0.0,784488.1118412047,осн,дом,,859.5083353403448,35-44,,0,"""Hi there! I’m a successful entrepreneur, and my financial situation is quite robust. I’m looking to expand my investments and would love to discuss potential loan options. I’m excited about the possibilities ahead and appreciate your guidance in navigating this process."""
ba05dd0f-a966-4a5a-aecf-1ed21861c9f3,1.0,м,3.0,2.0,,0.0,0.0,,paucity,366.0,,0.0,0.0,1014488.1118412047,осн,,2.0,859.5083353403448,45-54,0.0,1,"""Hi there! I’m a successful entrepreneur, enjoying the fruits of my labor. While I have a lot of financial responsibilities, I’m confident in my ability to manage them. I’m here to explore options for expanding my investments and securing my financial future."""
0a76bd91-9e7f-47a7-b721-5daa5d975cdc,0.0,ж,3.0,,1.0,0.0,,334765.26496797777,biggish,366.0,,0.0,0.0,484488.1118412047,осн,,,616.5083353403448,35-44,0.0,0,"""Hi! I'm a passionate individual with a steady job. Although my loan isn't pre-approved, I have a clear vision for my financial future. I'm eager to discuss how your bank can support my plans and help me reach my aspirations."""
b3932fb8-4fd4-4793-816f-2931fa1b1bac,0.0,n/a,3.0,1.0,1.0,0.0,,,not minikin,366.0,0.0,,0.0,414488.1118412047,осн,,1.0,557.5083353403448,55-64,0.0,0,"""Hello! I’m navigating some financial challenges with a low income. I’m here to learn about loan options that could help me get back on my feet. I haven’t been approved yet, but I’m hopeful for guidance on how to improve my situation."""
c9e26074-4f16-49a0-8a17-991ea5769411,0.0,м,3.0,2.0,1.0,0.0,0.0,274765.26496797777,passable,366.0,0.0,0.0,0.0,,осн,дом,2.0,734.5083353403448,45-54,1.0,0,"""Hello! I’m a dedicated employee with a stable job, and I’m here to discuss my loan approval. I’ve been saving diligently and am ready to invest in my dreams. I appreciate your assistance in making this process smooth and straightforward."""
cf92bd95-9b48-4302-bd2b-87148de0b52a,0.0,м,,1.0,1.0,0.0,0.0,374765.26496797777,not micro,366.0,0.0,0.0,0.0,604488.1118412047,инвест,дом,1.0,541.5083353403448,35-44,,0,"""I'm enjoying a stable career and see it as my anchor amid life's tempest. This solid foundation ensures prompt reconciling of any commitments. Looking forward to collaborating and maintaining trusted relations with your bank."""
054046cc-16d5-4b84-a61f-7117dd926cbf,,ж,3.0,,1.0,,0.0,504765.26496797777,median,366.0,,,0.0,654488.1118412047,осн,дом,2.0,898.5083353403448,35-44,1.0,0,"""Hello! I’m seeking a loan to support my small business. My income is stable, and I’m confident in my ability to repay. I’m excited about the potential growth this loan could bring and look forward to working together to achieve my goals."""
e8fb5a96-3b85-46e1-840f-54057a25ed81,0.0,ж,,0.0,1.0,0.0,0.0,314765.26496797777,not slender,,0.0,0.0,0.0,354488.1118412047,осн,дом,3.0,,35-44,1.0,0,"""Hello! I’m a successful professional with a high income. I’m here to explore loan options that can help me invest further. I appreciate the bank’s support and look forward to discussing how I can leverage my financial standing for future opportunities."""
6359d5ce-e2aa-4dc7-b208-838e7d57ef69,0.0,ж,,3.0,1.0,0.0,0.0,554765.2649679778,deprivation,366.0,0.0,,0.0,554488.1118412047,осн,дом,2.0,,25-34,1.0,1,"""Hello! I’m a dedicated professional, but I’ve been struggling lately. I’m here to discuss my loan situation, as I’ve been approved, but I’m not sure how to manage it effectively. I hope to find a way to stabilize my finances soon."""
