Anime,Text,Sentiment
Граница пустоты 5: Спираль парадокса / Kara no Kyoukai Movie 5: Mujun Rasen,"Вселенная ""Nasuverse"" одна из моих любимых в аниме. Сюжет, мотивы гг, описания принципов работы магии, сверхъспособностей персонажей и мн. др., - всё изыскано, продумано и заслуживает наивысшей похвалы. И фильм Kara no Kyoukai 5: Mujun Rasen не исключение.Захватывающая динамика, нетипичное повествование, музыка трогающая до глубины души. Даже рисовка в ключевых местах способствует передаче чувственной атмосферы картины, погружая зрителя в научно-мистический мир, существующий прямо у нас под носом и которого мы старательно обходим стороной.Это один из немногих тайтлов, которые действительно хочется пересмотреть и заново осмыслить (кто смотрел фильм ""Начало"" думаю поймёт о чём речь). Особенно сцены в башне - просто сногшибательны!Из недостатков: стоит отметить, что фильм является 5 по счёту (поэтому некоторые нюансы сюжета могут быть не совсем ясны при просмотре), в то же время оставляя смысловую нагрузку в достаточной мере полноценной.Однако это делает данное творение ещё более загадочным, тем самым подталкивая зрителя окунуться в другие серии ""Границы Пустоты"" и лучше понять, в чём смысл жизни современных магов в целом или отдельной ветви потомственных чародеев в частности))Итог: 10/10 (обязательно к просмотру всем любителям головоломок, магии и нелинейного повествования.)",1
"Красный, белый, чёрный, жёлтый: Ледяная империя / RWBY: Hyousetsu Teikoku","Что всегда делало RWBY таким особенным для меня, так это его атмосфера. Даже если у него не было отличного производства, сценария или темпа, он компенсировал это чистой страстью. Хореография в оригинальном RWBY честно не имеет себе равных по сей день, что помогло компенсировать его иногда сомнительную анимацию. Хотя сценарий, возможно, не всегда был лучшим и любительские актеры озвучивания компенсировали это тем, что они могли передать, сколько удовольствия получили, записывая свои реплики. А потом у нас была музыка. Песни Джеффа и Кейси Ли Уильямс всегда поражают, будь то чистый хайп или чувства одиночества и потери. Они всегда задавали настроение, и мы могли видеть, как они растут как художники вместе с актерами озвучивания. К чему я все это клоню? Из-за всего, что я упомянул выше, первый просмотр RWBY показался мне действительно особенным, чувство, которое я никогда не ожидал, что смогут реализовать в аниме. К сожалению, Ice Queendom не хватает атмосферы и страсти, которые сделали RWBY таким запоминающимся, несмотря на все его недостатки.После просмотра эпизодов с первого по третий все, о чем я мог думать, было: «Это то, что значит быть фанатом манги, смотрящим аниме-адаптацию?» потому что они действительно поспешили и испортили начало шоу. Пропуская множество взаимодействий персонажей и некоторые из моих любимых боев, в первую очередь Блейк и Сан против Романа, которые я до сих пор иногда пересматриваю на YouTube. По крайней мере, для меня все, что происходило в аниме так это заставило персонажей чувствовать себя картонными от их первоначальных личностей. Я также полагаю, что это ничего не даст, кроме как умалит опыт кого-то нового, пытающегося попасть в франшизу RWBY, поскольку эта сокращенная версия либо предполагает, что вы уже все знаете об этих персонажах, либо вам просто все равно. Эпизоды с четвертого по одиннадцатый полностью анимешные, и мне они совсем не кажутся RWBY. Как ни странно, все, о чем я мог думать, это то, что это было больше похоже на плохую сюжетную линию стандартного аниме, чем на историю из вселенной RWBY. Короче говоря, мне эти эпизоды тоже совершенно не понравились. Я поймал себя на том, что закатываю глаза, желая проверить свой телефон и искренне скучая. Помимо сюжета, похожего на фанфик, техническая часть большую часть времени был совершенно жалкой. OST мне тоже не запомнился. Фактически, единственная часть OST(а), которую я помню, это два раза, когда сею пытались спеть песни из оригинального шоу. По крайней мере, я ценю их усилия.Я знаю, что в этом обзоре в основном был негатив, но не все так плохо! Эпизод двенадцать был неплохим. Сцена драки с едой была идеальной. Это было не только красиво, но и весело. Веселье — это то, чего отчаянно не хватало этому сериалу. Мало того, персонажи наконец то чувствовались нормальными. То, как они ссорились и делали глупые или резкие комментарии друг другу, казалось очень естественным. Поскольку они явно готовились ко второму сезону, этот заключительный эпизод вселил в меня надежду, что однажды он потенциально сможет соответствовать оригинальному RWBY и, надеюсь, даже превзойдет его.В заключение, я не совсем уверен, для кого предназначена Ice Queendom. Как я уже упоминал ранее, поспешное начало оттолкнуло бы новых фанатов, по крайней мере, я так думаю. Меня, как давнего фаната, это, конечно, не зацепило тем, насколько неуважительно они отнеслись к оригинальной истории, а затем перешли к фанфику. При этом я не против оригинального аниме-материала. На мой взгляд, иметь половину сезона или, может быть, даже целый сезон, чтобы пересказать оригинальную историю и показать персонажей, было бы хорошо как для новых, так и для старых фанатов. Новые поклонники получат лучшее представление о мире и персонажах, а старые поклонники смогут пережить некоторые из своих любимых сцен. После более прочной основы, я думаю, что некоторый оригинальный аниме-контент мог бы быть очень интересным, если бы он был сделан правильно.",0
Любовь похожа на прошедший дождь / Koi wa Ameagari no You ni,"Есть у этого аниме интересная завязка - влюбленность 17-летней девочки в зрелого мужчину. И повествование ведется довольно необычно для седзе про школьницу: никаких тебе курисмасу, шоколадок на день святого валентина, бэнто на обед и фестивалей (кроме кратенького эпизода в юката летом). И рисовка симпатичная. Бюджетная, конечно, но симпатичная. Но с середины просмотра начинает преследовать чувство, что создатели где-то заблудились. Жизнь, конечно, тоже штука невнятная, но тут у нас сериал, и назревающий вопрос ""и что?"" - тревожный звоночек. Любовь уходит в сторону, уступая стремлениям главных героев: у Акиры это легкая атлетика, у Кондо - литература. И все бы хорошо, только дальше и до самого конца все топчутся на одном месте. Любовь? спойлерНу да, была где-то в начале романтика, красные щечки, блестящие глазки, вот это вот все. Даже свидание, даже мнимый соперник (который слился так же внезапно, как и появился). Но вы же понимаете (словно говорят нам создатели), что у таких отношений будущего нет. Понимаете? Умнички, потому что к этой теме мы не вернемся. Есть, кстати, еще целая одна второстепенная парочка в этом аниме, еще более невнятная, исключительно для фона. Дружба? Наметим конфликт, но сюжетную линию до конца доводить не будем - зачем? Учеба - фоном, как и легкая атлетика. Литература? Наш герой - вроде как писатель, переживающий кризис. Переживет? А черт его знает. Вот, смотрите, мы введем его школьного товарища, который, впрочем, не внесет ничего существенного. Он тут просто есть. Как и все в этом аниме. Похожи на бессловесных рыбок в аквариуме куда больше, чем книги в местной библиотеке. Здесь намешаны и школа, и спорт, и романтическая линия между взрослым мужчиной и школьницей; литературное искусство, будни официантки, друзья детства, мелькающий ребенок с хомячком и вскользь упомянутая бывшая жена. И все это никуда не двигается, как декорации в заброшенном театре. В конце тучи символично расступаются, а ты смотришь на радостные лица главных героев и не понимаешь, к чему все вот это было. спойлерНе то чтобы они очень друг другу помогли, ведь решающие советы им преподнесли на блюде друзья, а не та-самая-трогательная-привязанность.Шестерочка за дождливую атмосферу и низкую концентрацию соплей.",0
Шальные девчонки / Girls of the Wild's,"260 глав пролетели в мгновение ока, в душе осадок, на глазах радость. Быстро скомпонированная концовка и длительное подведение к развязке, могли повлиять на целостность тайтла, если бы он не был настолько сногсшибательным Вином.По персонажам нечего говорить, хоть и гг туговат в вопросах отношений с противоположным полом, но в целом он очень быстро меняется и развивается (от любви до ненависти один шаг, собственно и наоборот). Девчата потрясающие, со своими тараканами в голове и симпотяжки, что не мало важно.(эх, где моя молодость) Ну и конечно же коронные боевые прописоны от Дам с лицами настоящих хищниковРисовка супер, формы подчеркнуты изящно, цвета радуют глаз.Сюжет, не сказать что он свежий или же часто используемый, шаблонный бое-гаремник. Тут позаимствовано все самое лучшее, неплохо приведено в годность и объединено из самых популярных и похожих произведений. В один момент, напор глав приостанавливается. Затяжные мини арки перед концовкой, понемногу ослабляют весь этот головокружительный поток эмоций. В конечном итоге, слишком быстрый the end, без каких либо подведений итогов. Хотя, я доволен, что все закончилось именно так. Определенно годнота!",1
Ангел кровопролития / Satsuriku no Tenshi,"Сначала я подумала что реально ужасы, будет что-то такое эпичное. Но увы, первая серия заинтриговала и порадовала, а потом началось непонятно что и ушло в сторону психологического жанра. Под конец стало даже как-то скучновато, поэтому я ненадолго приостановила просмотр этого тайтла, но решила все таки досмотреть. До конца так я ничего и не узнала,поэтому меня это толкнуло на мысль о втором сезоне(мангу я не читала). Персонажи мне понравились. Жалко что их очень мало, было бы интересно. Особенно порадовало что в тайтле из девушек не одна гг, а есть еще. Кстати рисовка очень даже неплохая. Смех Айзека просто убивал XD Это нечто...Хочу развития сюжета, чтоб понять где они находятся и кто эти все люди вообще. Объяснили нам об этом в аниме очень мало.Поставлю 6 из 10, потому что сюжет до конца не развили, жанра ужасы я почти не увидела и все дошло до того, что мне стало скучносмотреть. Если не жалко вашего времени, то смотрите. Чисто за рисовку и прикольных персонажей ставлю 6.",0
Крутой учитель Онидзука / GTO,"На данный момент прошло уже 25 лет с выхода первой главы этой манги, а это, согласитесь, срок немалый. Но при этом даже сейчас читается она на ура. Перечитывая мангу к обзору ни на секунду не закралось мысли о каком-то моральном устаревании в плане что рисунка, что сюжета. Сквозной темой идут взаимоотношения поколений, дружба и предательство, вера в людей и взаимовыручка. С точки зрения морали выстраивается целостная картина, в которой учитель Онидзука нестандартными методами, идущими в разрез с принятой политикой школы и системы образования, причиняет добро. На фоне нынешней повестки многие его действия и методы могут показаться жесткими и неоправданными, что и наводит на мысли о некотором несоответствии с современностью. Но если от них абстрагироваться и расценивать всё как продут той эпохи, когда разбитый ненароком автомобиль и телесные наказания были относительной нормой для произведений того времени, а также воспринимать это как некий гипертрофированный комедийный элемент, то удовольствие от манги получаешь невероятное. Сменяющие друг друга сюжетные арки плотно связаны, а напряженные моменты чередуются прекрасно отрисованными шутками и забавными ситуациями. Однозначно рекомендую прочесть данную мангу.",1
Одинокий рокер! / Bocchi the Rock!,"Отзыв можно сформировать одной фразой: ""Для сериала про рокера Слишком! Мало! Рока!!""По сути - самое интересное оставили за кадром.Возможно, это завышенные ожидания, сформированные анимешной модой на школьников-аутсайдеров, которые внезапно начинают блистать? Я слишком много хочу от комедийной пародии? Но почему тогда мне так обидно за главную героиню?Героиня крута, ее внутренний мир просто потрясающ, стилистика, культурные отсылки - все на высоте. Но у нас вроде как сюжет про становление личности. И вот тут странный момент: поражения и провалы комедийно смакуются и подчеркиваются, несоответствие ее мечтаний бытовой реальности прямо таки выпирают благодаря атмосферным вставкам. Но те минуты, когда по сюжету героине можно бы позволить немного сверкнуть - их просто либо нет (и авторы погружают девчушку в момент очередного унижения), либо они показаны бегло, как нечто будничное и неважное. Единственный реально крутой момент - только соло в 8-й серии. Пожалуй, еще можно упомянуть уличный концерт, где героиня впервые ловит кайф от игры на публику кстати, кайфует она, когда ее не забивают другие участники группы, что показательно. Финал же удивителен в своей беспощадности спойлерГероиня удостоилась пары одобрительных фраз, а все лавры ""самый крутой участник"" сняла Кита. Ките мало экранного времени или всеобщего восхищения? Почему нельзя было как-то выделить главную героиню с положительной стороны, кроме вот этого ""ах, она подобрала банку""?Ну и из этого несоответствия выходит некий скрытый сюжетный конфликт. Прекрасная начинающая гитаристка, набирающая все большее признание в сети как игрок соло, абсолютно не выделяется в группе: играет не в такт, неумеха и прочие добрые ""комплименты"" от соучастников мы слышим почти до финала. Но будущего вне группы при этом у нее нет, потому что как-то надо развивать социальные навыки, да и друзья для нее важны.Я бы с бОльшим удовольствием посмотрела, как эта девушка-хикки превращается в прекрасного рокера, творящего магию на сцене, пусть она и будет не от мира всего - нестрашно. Ну хоть бы еще парочку сцен, пожалуйста.",1
Кровавый парень / Blood Lad,"И вновь, спустя пару лет, решил пересмотреть некоторые аниме, и скажу я вам я не ожидал что мне понравится это аниме, второй раз!Начал кайфовать с первых же минут, я бы сказал что тут намешали все что можно в интересном сеттинге(мир демонов) и даже по началу не хочешь задумываться как это все существует, и потом уж начинают раскрывать суть мира, и если бы можно было давать теги( ну и собственно плюсы ) аниме то:+семья ( как бы сказал вин дизель, ""не ничего важнее семьи"" ) и дружбы немного (когда пацанчики боса, выложились на полную и выкинули в 3 все банду другого боса, прям вах)+вампиры и прочая нечисть ( что я только тут не увидел, ну наверно только если мерский созданий, но все равно знатный зверинец )+месть ( которую подают холодной )+параллельные миры ( не так уже и сильно заметно, но серию из 10, было приятно смотреть что и как там, а и еще пару моментов связанных с сюжетом и персонажами )+любовь( или как бы выразился ГГ, да хрен знает, не знаю, но люблю )+интересные персонажи и сюжет(у 4 персонажей свои цели на эту партию, а не только у ГГ)+сменяемость атмосферы(смешно,красиво, грустно)+концовка, явна заканчивающаяся на интересном моментах*-ну наверно только продолжительность 12 серий хотяб) Итог: По окончанию просмотра 10 серии, к сожалению всего 10 а не хотяб 12, явно проду должны были выложить, но не задача на дворе 22г, прошло 9 лет, а проды нет, ну чтож режим ждуна, продолжаетсяЯ скажу что с этим произведением не стыдно ознакомится и в 22г) РекомендуюСмотрел в озвучке AniDUByoutubecoub",1
Магистр дьявольского культа / Mo Dao Zu Shi,"Это аниме вне всяких похвал, оно просто великолепно.Потрясающие локации, красивые и интересные персонажи, приятная атмосферная музыка, ну и конечно же, захватывающий сюжет. Я настолько увлеклась данной работой, что смогла оторваться не раньше, чем закончился сезон. 10 из 10",1
Атака титанов 3 / Shingeki no Kyojin Season 3,"Первая половина третьего сезона получилась интересной и интригующей. На 12 серий сюжет сбавляет свои масштабные обороты в угоду решению внутренних конфликтов и раскрытию историй прошлого. Впервые приподнимается завеса тайны, впервые рассказывается часть глобальной истории. Естественно, все откровения ждут зрителя лишь во второй половине, но и первые 12 серий не оставляют без удивления. Титанов тут мало, основное внимание уделено конфликтам людей. Тем не менее, за этим интересно наблюдать, и такое отступление явно идёт сюжету на пользу.С первой же серии в глаза бросается новая рисовка: нет больше характерных первым двум сезонам жирных линий. Это не плюс и не минус, а лишь факт. Стоит признать, что эта особенность делала рисовку «Титанов» оригинальной. С другой же стороны, отказ от неё дал возможность детализировать внешний вид персонажей, что особенно заметно на их причёсках. Новая рисовка работает в симбиозе с анимацией, которая в этот раз восхищает как никогда ранее. И первые два сезона показывали нам зрелищные сцены полётов на УПМ, но исполнение подобных экшн-моментов в первой половине третьего сезона просто выше всех похвал. В целом, новая рисовка вкупе с анимацией заставляет думать, что на эти 12 серий было потрачено больше всего денег и сил. Лично для меня этот полусезон - лучший с точки зрения технического исполнения. спойлерИ очень жаль, что его прямое подолжение этого лишилось: рисовка во второй половине сезона порой напоминает смесь старой и новой, а анимация, столь необходимая в экшн-сценах битвы за Шиганшину, выполнена далеко не на таком уровне.Опенинг красив визуалом и звучанием, хоть и немного непривычен для «Титанов». Эндинг особенно запомнился в последней серии, поэтому не спешите его пропускать. Не берусь утверждать, но мне показалось, что саундтрек, помимо используемого в предыдущих двух сезонах, стал богаче. С ним, по традиции, никаких проблем нет: все композиции великолепны и запоминающиеся, идеально подчеркивают каждую сцену.Вердикт: первая половина сезона действительно хороша, в технических аспектах даже очень. Многим почему-то не пришлось по вкусу здешнее отступление от основного конфликта, я же себя к эти людям не причисляю. Великолепно, чего и стоило ожидать.",1
